date;location;product;type;quantity;value;partner_code
2023-01-12;1314;54554;SALE;-1;-30.79;CLIENTE
2023-01-13;841;18064;DELIVERY;1;2.34;CD 2
2023-01-13;841;18064;SALE;-1;-2.34;CLIENTE
2023-01-13;841;21141;DELIVERY;1;25.98;CD 2
2023-01-13;1314;9607;DELIVERY;4;51.48;CD 2
2023-01-13;1314;18064;DELIVERY;10;38.9;CD 2
2023-01-13;1314;18064;SALE;-1;-3.89;CLIENTE
2023-01-14;841;5345;SALE;-1;-4.99;CLIENTE
2023-01-14;841;9607;SALE;-1;-8;CLIENTE
2023-01-14;841;18064;SALE;-3;-7.02;CLIENTE
2023-01-14;1314;18064;SALE;-11;-42.79;CLIENTE
2023-01-15;841;18064;SALE;-1;-2.34;CLIENTE
2023-01-15;1314;18064;SALE;-3;-11.67;CLIENTE
2023-01-16;1314;9607;DELIVERY;2;25.74;CD 2
2023-01-16;1314;18064;DELIVERY;24;93.36;CD 2
2023-01-16;1314;18064;SALE;-3;-11.67;CLIENTE
2023-01-17;1314;15589;SALE;-1;-31.69;CLIENTE
2023-01-17;1314;18064;DELIVERY;3;11.67;CD 2
2023-01-17;1314;18064;SALE;-9;-35.01;CLIENTE
2023-01-18;841;5345;SALE;-1;-4.99;CLIENTE
2023-01-18;841;9607;SALE;-1;-8;CLIENTE
2023-01-18;841;18064;SALE;-7;-16.38;CLIENTE
2023-01-18;1314;9607;SALE;-2;-25.74;CLIENTE
2023-01-18;1314;18064;DELIVERY;7;27.23;CD 2
2023-01-18;1314;18064;SALE;-5;-19.45;CLIENTE
2023-01-18;1314;21141;DELIVERY;1;31.14;CD 2
2023-01-19;841;18064;SALE;-1;-2.34;CLIENTE
2023-01-19;1314;18064;SALE;-6;-23.34;CLIENTE
2023-01-20;841;5345;DELIVERY;1;4.99;CD 2
2023-01-20;841;18064;SALE;-5;-11.7;CLIENTE
2023-01-20;841;21141;SALE;-1;-25.98;CLIENTE
2023-01-20;1314;9607;SALE;-1;-12.87;CLIENTE
2023-01-20;1314;18064;SALE;-8;-31.12;CLIENTE
2023-01-21;1314;18064;SALE;-9;-35.01;CLIENTE
2023-01-22;1314;18064;SALE;-7;-27.23;CLIENTE
2023-01-22;1314;57912;SALE;-1;-12.68;CLIENTE
2023-01-23;1314;1439;SALE;-1;-18.4;CLIENTE
2023-01-23;1314;9607;SALE;-1;-12.87;CLIENTE
2023-01-23;1314;18064;DELIVERY;21;81.69;CD 2
2023-01-23;1314;18064;SALE;-17;-66.13;CLIENTE
2023-01-24;841;9607;SALE;-1;-8;CLIENTE
2023-01-24;841;18064;SALE;-2;-4.68;CLIENTE
2023-01-24;1314;18064;SALE;-5;-19.45;CLIENTE
2023-01-25;1314;18064;SALE;-5;-19.45;CLIENTE
2023-01-26;841;18064;SALE;-1;-2.34;CLIENTE
2023-01-26;1314;9607;SALE;-2;-25.74;CLIENTE
2023-01-27;841;5345;DELIVERY;3;14.97;CD 2
2023-01-27;841;18064;DELIVERY;5;11.7;CD 2
2023-01-27;841;18064;SALE;-3;-7.02;CLIENTE
2023-01-27;841;51957;SALE;-1;-5.89;CLIENTE
2023-01-27;1314;9607;SALE;-1;-12.87;CLIENTE
2023-01-27;1314;18064;SALE;-5;-19.45;CLIENTE
2023-01-28;841;18064;SALE;-3;-7.02;CLIENTE
2023-01-28;841;36857;SALE;-1;-2.27;CLIENTE
2023-01-28;1314;1439;SALE;-1;-18.4;CLIENTE
2023-01-28;1314;18064;SALE;-10;-38.9;CLIENTE
2023-01-29;841;18064;SALE;-3;-7.02;CLIENTE
2023-01-29;841;20635;SALE;-1;-23.09;CLIENTE
2023-01-29;1314;18064;SALE;-13;-50.57;CLIENTE
2023-01-29;1314;21141;SALE;-1;-31.14;CLIENTE
2023-01-30;841;9607;SALE;-1;-8;CLIENTE
2023-01-30;1314;18064;DELIVERY;3;11.67;CD 2
2023-01-30;1314;18064;SALE;-4;-15.56;CLIENTE
2023-01-30;1314;36857;SALE;-1;-3.54;CLIENTE
2023-01-30;1314;62782;DELIVERY;1;13.61;CD 2
2023-01-31;841;18064;DELIVERY;5;11.7;CD 2
2023-01-31;841;21141;DELIVERY;1;24.43;CD 2
2023-01-31;1314;1439;SALE;-1;-18.4;CLIENTE
2023-01-31;1314;9607;DELIVERY;2;25.74;CD 2
2023-01-31;1314;18064;DELIVERY;20;77.8;CD 2
2023-01-31;1314;18064;SALE;-5;-19.45;CLIENTE
2024-02-01;841;5345;DELIVERY;4;20.84;CD 2
2024-02-01;841;15589;DELIVERY;2;48.1;CD 2
2024-02-01;841;18064;DELIVERY;5;11.25;CD 2
2024-02-01;841;18064;SALE;-5;-11.25;CLIENTE
2024-02-01;841;21141;DELIVERY;1;24.76;CD 2
2024-02-01;841;48812;DELIVERY;1;8.4;CD 2
2024-02-01;1314;9607;DELIVERY;2;27;CD 2
2024-02-01;1314;18064;DELIVERY;23;89.47;CD 2
2024-02-01;1314;18064;SALE;-6;-23.34;CLIENTE
2024-02-01;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-02;841;5345;DELIVERY;1;5.21;CD 2
2024-02-02;841;21141;DELIVERY;1;24.76;CD 2
2024-02-02;1314;18064;DELIVERY;1;3.89;CD 2
2024-02-02;1314;18064;SALE;-6;-23.34;CLIENTE
2024-02-02;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-03;841;9607;SALE;-1;-8.27;CLIENTE
2024-02-03;841;15589;SALE;-1;-24.05;CLIENTE
2024-02-03;841;18064;DELIVERY;7;15.75;CD 2
2024-02-03;1314;9607;SALE;-1;-13.5;CLIENTE
2024-02-03;1314;18064;SALE;-7;-27.23;CLIENTE
2024-02-03;1314;35416;SALE;-2;-29.78;CLIENTE
2024-02-04;841;18064;SALE;-1;-2.25;CLIENTE
2024-02-04;1314;5345;SALE;-1;-8.39;CLIENTE
2024-02-04;1314;9607;SALE;-1;-13.5;CLIENTE
2024-02-04;1314;18064;SALE;-9;-35.01;CLIENTE
2024-02-04;1314;36857;SALE;-1;-3.75;CLIENTE
2024-02-05;841;18064;SALE;-1;-2.25;CLIENTE
2024-02-05;1314;9607;DELIVERY;1;13.5;CD 2
2024-02-05;1314;18064;DELIVERY;25;97.25;CD 2
2024-02-05;1314;18064;SALE;-8;-31.12;CLIENTE
2024-02-05;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-05;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-06;841;18064;SALE;-2;-4.5;CLIENTE
2024-02-06;1314;1439;DELIVERY;2;36.58;CD 2
2024-02-06;1314;9607;DELIVERY;1;13.5;CD 2
2024-02-06;1314;9607;SALE;-1;-13.5;CLIENTE
2024-02-06;1314;13315;DELIVERY;1;46.59;CD 2
2024-02-06;1314;15589;SALE;-1;-29.48;CLIENTE
2024-02-06;1314;18064;DELIVERY;33;128.37;CD 2
2024-02-06;1314;18064;SALE;-11;-42.79;CLIENTE
2024-02-06;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-07;841;18064;SALE;-8;-18;CLIENTE
2024-02-07;1314;9607;SALE;-3;-40.5;CLIENTE
2024-02-07;1314;18064;SALE;-6;-23.34;CLIENTE
2024-02-08;841;9607;DELIVERY;1;8.29;CD 2
2024-02-08;841;15589;DELIVERY;1;24.05;CD 2
2024-02-08;841;15589;SALE;-1;-24.05;CLIENTE
2024-02-08;841;18064;DELIVERY;1;2.25;CD 2
2024-02-08;841;57912;SALE;-1;-8.79;CLIENTE
2024-02-08;1314;18064;SALE;-9;-35.01;CLIENTE
2024-02-08;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-08;1314;21141;SALE;-1;-30.57;CLIENTE
2024-02-09;841;5345;SALE;-1;-5.21;CLIENTE
2024-02-09;841;18064;SALE;-6;-13.5;CLIENTE
2024-02-09;841;21141;SALE;-1;-24.76;CLIENTE
2024-02-09;1314;13315;SALE;-1;-46.59;CLIENTE
2024-02-09;1314;18064;DELIVERY;11;42.79;CD 2
2024-02-09;1314;18064;SALE;-12;-46.68;CLIENTE
2024-02-09;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-10;841;18064;SALE;-1;-2.25;CLIENTE
2024-02-10;1314;18064;SALE;-9;-35.01;CLIENTE
2024-02-11;841;15589;DELIVERY;1;24.04;CD 2
2024-02-11;841;18064;DELIVERY;11;24.75;CD 2
2024-02-11;841;18064;SALE;-3;-6.75;CLIENTE
2024-02-11;841;21141;SALE;-1;-24.76;CLIENTE
2024-02-11;841;57912;DELIVERY;1;8.79;CD 2
2024-02-11;1314;1439;SALE;-1;-18.29;CLIENTE
2024-02-11;1314;13315;SALE;-2;-93.18;CLIENTE
2024-02-11;1314;18064;SALE;-17;-66.13;CLIENTE
2024-02-12;841;31330;SALE;-1;-51.5;CLIENTE
2024-02-12;1314;1439;SALE;-1;-18.29;CLIENTE
2024-02-12;1314;9607;DELIVERY;2;27.02;CD 2
2024-02-12;1314;9607;SALE;-2;-27.02;CLIENTE
2024-02-12;1314;18064;DELIVERY;24;93.36;CD 2
2024-02-12;1314;18064;SALE;-7;-27.23;CLIENTE
2024-02-12;1314;35416;DELIVERY;2;29.78;CD 2
2024-02-12;1314;36857;DELIVERY;1;3.75;CD 2
2024-02-13;841;15589;SALE;-1;-24.04;CLIENTE
2024-02-13;841;35416;SALE;-1;-10.74;CLIENTE
2024-02-13;1314;9607;DELIVERY;3;40.56;CD 2
2024-02-13;1314;9607;SALE;-1;-13.52;CLIENTE
2024-02-13;1314;18064;DELIVERY;16;62.24;CD 2
2024-02-13;1314;18064;SALE;-15;-58.35;CLIENTE
2024-02-13;1314;20635;DELIVERY;3;92.67;CD 2
2024-02-14;841;18064;SALE;-3;-6.75;CLIENTE
2024-02-14;841;21141;SALE;-1;-24.76;CLIENTE
2024-02-14;1314;18064;SALE;-3;-11.67;CLIENTE
2024-02-14;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-15;1314;9607;SALE;-2;-27.04;CLIENTE
2024-02-15;1314;15589;SALE;-2;-58.96;CLIENTE
2024-02-15;1314;18064;SALE;-6;-23.34;CLIENTE
2024-02-15;1314;21141;SALE;-1;-30.57;CLIENTE
2024-02-16;841;15589;DELIVERY;1;24.04;CD 2
2024-02-16;841;15589;SALE;-1;-24.04;CLIENTE
2024-02-16;841;18064;DELIVERY;10;22.5;CD 2
2024-02-16;841;21141;DELIVERY;2;49.52;CD 2
2024-02-16;841;21141;SALE;-1;-24.76;CLIENTE
2024-02-16;841;31330;DELIVERY;1;50.71;CD 2
2024-02-16;841;35416;DELIVERY;1;10.74;CD 2
2024-02-16;1314;9607;SALE;-1;-13.52;CLIENTE
2024-02-16;1314;18064;SALE;-6;-23.34;CLIENTE
2024-02-16;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-17;841;18064;DELIVERY;3;6.75;CD 2
2024-02-17;841;20635;SALE;-1;-23.33;CLIENTE
2024-02-17;841;21141;DELIVERY;2;49.52;CD 2
2024-02-17;1314;5345;SALE;-1;-8.39;CLIENTE
2024-02-17;1314;9607;SALE;-1;-13.52;CLIENTE
2024-02-17;1314;18064;SALE;-9;-35.01;CLIENTE
2024-02-17;1314;21141;SALE;-1;-30.57;CLIENTE
2024-02-18;841;9607;SALE;-1;-8.29;CLIENTE
2024-02-18;1314;5345;SALE;-1;-8.39;CLIENTE
2024-02-18;1314;18064;SALE;-16;-62.24;CLIENTE
2024-02-19;841;15589;SALE;-1;-24.04;CLIENTE
2024-02-19;841;18064;SALE;-2;-4.5;CLIENTE
2024-02-19;841;58701;SALE;-1;-42.86;CLIENTE
2024-02-19;1314;9607;DELIVERY;1;13.52;CD 2
2024-02-19;1314;13315;DELIVERY;1;46.59;CD 2
2024-02-19;1314;15589;SALE;-2;-58.96;CLIENTE
2024-02-19;1314;18064;DELIVERY;15;58.35;CD 2
2024-02-19;1314;18064;SALE;-9;-35.01;CLIENTE
2024-02-19;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-19;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-19;1314;21141;DELIVERY;1;30.54;CD 2
2024-02-19;1314;35416;DELIVERY;2;29.78;CD 2
2024-02-20;841;18064;SALE;-1;-2.25;CLIENTE
2024-02-20;1314;5345;SALE;-1;-8.39;CLIENTE
2024-02-20;1314;18064;SALE;-4;-15.56;CLIENTE
2024-02-21;841;18064;SALE;-1;-2.25;CLIENTE
2024-02-21;1314;5345;SALE;-1;-8.39;CLIENTE
2024-02-21;1314;18064;SALE;-17;-66.13;CLIENTE
2024-02-21;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-21;1314;21141;SALE;-1;-30.54;CLIENTE
2024-02-21;1314;35416;SALE;-1;-14.89;CLIENTE
2024-02-22;1314;9607;SALE;-1;-13.52;CLIENTE
2024-02-22;1314;15589;DELIVERY;1;29.48;OUTROS
2024-02-22;1314;18064;DELIVERY;11;42.79;OUTROS
2024-02-22;1314;18064;SALE;-5;-19.45;CLIENTE
2024-02-22;1314;44217;INVENTORY_CHECK;-1;-41.78;OUTROS
2024-02-23;841;15589;DELIVERY;2;48.06;CD 2
2024-02-23;841;18064;DELIVERY;3;6.75;CD 2
2024-02-23;841;20635;DELIVERY;1;23.33;CD 2
2024-02-23;841;35772;DELIVERY;1;11.93;CD 2
2024-02-23;841;57814;TRANSFER;-1;-118.76;CD 1
2024-02-23;841;58701;DELIVERY;1;45.25;CD 2
2024-02-23;1314;1439;DELIVERY;2;36.52;CD 2
2024-02-23;1314;1439;SALE;-1;-18.26;CLIENTE
2024-02-23;1314;9607;DELIVERY;3;40.59;CD 2
2024-02-23;1314;9607;SALE;-1;-13.53;CLIENTE
2024-02-23;1314;13315;DELIVERY;2;93.18;CD 2
2024-02-23;1314;15589;SALE;-1;-29.48;CLIENTE
2024-02-23;1314;18064;DELIVERY;59;229.51;CD 2
2024-02-23;1314;18064;SALE;-15;-58.35;CLIENTE
2024-02-23;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-24;841;18064;SALE;-6;-13.5;CLIENTE
2024-02-24;841;21141;SALE;-1;-24.76;CLIENTE
2024-02-24;841;36857;SALE;-1;-2.34;CLIENTE
2024-02-24;1314;18064;SALE;-5;-19.45;CLIENTE
2024-02-24;1314;35416;SALE;-1;-14.89;CLIENTE
2024-02-24;1314;36857;SALE;-1;-3.75;CLIENTE
2024-02-25;841;18064;SALE;-1;-2.25;CLIENTE
2024-02-25;1314;15589;DELIVERY;2;58.92;CD 2
2024-02-25;1314;18064;SALE;-4;-15.56;CLIENTE
2024-02-25;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-25;1314;21141;DELIVERY;1;30.52;CD 2
2024-02-26;1314;5345;SALE;-1;-8.39;CLIENTE
2024-02-26;1314;9607;SALE;-1;-13.53;CLIENTE
2024-02-26;1314;15589;SALE;-1;-29.46;CLIENTE
2024-02-26;1314;18064;SALE;-4;-15.56;CLIENTE
2024-02-26;1314;20635;SALE;-2;-61.78;CLIENTE
2024-02-26;1314;36857;SALE;-1;-3.75;CLIENTE
2024-02-27;841;18064;SALE;-2;-4.5;CLIENTE
2024-02-27;1314;9607;DELIVERY;1;13.53;CD 2
2024-02-27;1314;15589;DELIVERY;2;58.9;CD 2
2024-02-27;1314;15590;TRANSFER;-1;-40.45;CD 1
2024-02-27;1314;18064;SALE;-15;-58.35;CLIENTE
2024-02-27;1314;20635;DELIVERY;1;30.89;CD 2
2024-02-27;1314;20635;SALE;-1;-30.89;CLIENTE
2024-02-27;1314;21141;DELIVERY;1;30.51;CD 2
2024-02-27;1314;21141;SALE;-1;-30.51;CLIENTE
2024-02-28;841;18064;SALE;-2;-4.5;CLIENTE
2024-02-28;841;21141;SALE;-1;-24.76;CLIENTE
2024-02-28;1314;1439;SALE;-1;-18.26;CLIENTE
2024-02-28;1314;5345;DELIVERY;1;8.41;CD 2
2024-02-28;1314;5345;SALE;-2;-16.82;CLIENTE
2024-02-28;1314;9607;SALE;-2;-27.06;CLIENTE
2024-02-28;1314;18064;SALE;-6;-23.34;CLIENTE
2024-02-28;1314;21141;DELIVERY;1;30.48;CD 2
2024-02-28;1314;35416;DELIVERY;1;14.89;CD 2
2024-02-29;841;21141;DELIVERY;1;24.77;CD 2
2024-02-29;841;58701;SALE;-1;-45.25;CLIENTE
2024-02-29;1314;1439;DELIVERY;2;36.5;CD 2
2024-02-29;1314;5345;DELIVERY;4;33.8;CD 2
2024-02-29;1314;15589;DELIVERY;1;29.45;CD 2
2024-02-29;1314;18064;SALE;-8;-31.12;CLIENTE
2024-03-01;841;5345;SALE;-1;-5.21;CLIENTE
2024-03-01;841;15589;SALE;-1;-24.03;CLIENTE
2024-03-01;841;18064;SALE;-4;-9;CLIENTE
2024-03-01;1314;1439;SALE;-2;-36.5;CLIENTE
2024-03-01;1314;9607;SALE;-1;-13.53;CLIENTE
2024-03-01;1314;15589;SALE;-1;-29.45;CLIENTE
2024-03-01;1314;18064;SALE;-9;-35.01;CLIENTE
2024-03-01;1314;36857;SALE;-1;-3.75;CLIENTE
2024-03-02;841;15590;SALE;-1;-32.05;CLIENTE
2024-03-02;841;18064;SALE;-2;-4.5;CLIENTE
2024-03-02;1314;9607;SALE;-1;-13.53;CLIENTE
2024-03-02;1314;18064;SALE;-8;-31.12;CLIENTE
2024-03-02;1314;21141;SALE;-1;-30.48;CLIENTE
2024-03-02;1314;36857;SALE;-1;-3.75;CLIENTE
2024-03-03;841;18064;SALE;-3;-6.75;CLIENTE
2024-03-03;841;48812;SALE;-1;-8.4;CLIENTE
2024-03-03;1314;1439;SALE;-1;-18.25;CLIENTE
2024-03-03;1314;18064;SALE;-16;-62.24;CLIENTE
2024-03-03;1314;20635;SALE;-1;-30.89;CLIENTE
2024-03-04;841;9607;SALE;-2;-16.58;CLIENTE
2024-03-04;841;18064;SALE;-3;-6.75;CLIENTE
2024-03-04;841;21141;DELIVERY;2;49.54;CD 2
2024-03-04;841;21141;SALE;-1;-24.77;CLIENTE
2024-03-04;841;36857;DELIVERY;1;2.37;CD 2
2024-03-04;841;58701;DELIVERY;1;45.25;CD 2
2024-03-04;1314;5345;DELIVERY;1;8.45;CD 2
2024-03-04;1314;15589;DELIVERY;1;29.45;CD 2
2024-03-04;1314;15589;SALE;-1;-29.45;CLIENTE
2024-03-04;1314;18064;SALE;-5;-19.45;CLIENTE
2024-03-04;1314;20635;DELIVERY;2;61.78;CD 2
2024-03-04;1314;36857;DELIVERY;2;7.52;CD 2
2024-03-04;1314;48813;SALE;-1;-7.84;CLIENTE
2024-03-05;1314;18064;SALE;-12;-46.68;CLIENTE
2024-03-05;1314;20635;SALE;-1;-30.89;CLIENTE
2024-03-06;841;9607;SALE;-1;-8.29;CLIENTE
2024-03-06;1314;9607;SALE;-2;-27.06;CLIENTE
2024-03-06;1314;18064;SALE;-9;-35.01;CLIENTE
2024-03-06;1314;35416;SALE;-1;-14.89;CLIENTE
2024-03-06;1314;58701;SPOILAGE;-1;-53.37;OUTROS
2024-03-07;841;5345;DELIVERY;1;5.22;CD 2
2024-03-07;841;9607;SALE;-1;-8.29;CLIENTE
2024-03-07;841;15589;DELIVERY;1;24.03;CD 2
2024-03-07;841;18064;DELIVERY;2;4.5;CD 2
2024-03-07;841;18064;SALE;-2;-4.5;CLIENTE
2024-03-07;841;18064;SPOILAGE;-1;-2.25;OUTROS
2024-03-07;841;48812;DELIVERY;1;8.4;CD 2
2024-03-07;841;58701;DELIVERY;1;45.25;CD 2
2024-03-07;1314;1439;DELIVERY;3;54.72;CD 2
2024-03-07;1314;5345;DELIVERY;2;16.9;CD 2
2024-03-07;1314;9607;DELIVERY;2;27.08;CD 2
2024-03-07;1314;9607;SALE;-1;-13.54;CLIENTE
2024-03-07;1314;15589;DELIVERY;1;29.45;CD 2
2024-03-07;1314;15589;SALE;-1;-29.45;CLIENTE
2024-03-07;1314;18064;SALE;-15;-58.35;CLIENTE
2024-03-07;1314;20635;DELIVERY;3;92.67;CD 2
2024-03-07;1314;21141;DELIVERY;1;30.45;CD 2
2024-03-07;1314;31330;SALE;-1;-67.81;CLIENTE
2024-03-07;1314;36857;DELIVERY;1;3.76;CD 2
2024-03-08;841;18064;SALE;-1;-2.25;CLIENTE
2024-03-08;1314;1439;SALE;-1;-18.24;CLIENTE
2024-03-08;1314;9607;SALE;-1;-13.54;CLIENTE
2024-03-08;1314;9607;TRANSFER;-2;-27.08;CD 2
2024-03-08;1314;18064;SALE;-7;-27.23;CLIENTE
2024-03-09;841;9607;DELIVERY;1;8.44;CD 2
2024-03-09;841;18064;DELIVERY;11;24.86;CD 2
2024-03-09;841;21141;DELIVERY;1;24.77;CD 2
2024-03-09;1314;1439;SALE;-1;-18.24;CLIENTE
2024-03-09;1314;5345;SALE;-2;-16.9;CLIENTE
2024-03-09;1314;18064;SALE;-12;-46.68;CLIENTE
2024-03-09;1314;36857;SALE;-1;-3.76;CLIENTE
2024-03-10;1314;18064;SALE;-12;-46.68;CLIENTE
2024-03-10;1314;20635;SALE;-1;-30.89;CLIENTE
2024-03-11;841;9607;DELIVERY;2;16.88;CD 2
2024-03-11;841;18064;DELIVERY;3;6.78;CD 2
2024-03-11;841;21141;SALE;-1;-24.77;CLIENTE
2024-03-11;1314;1439;DELIVERY;1;18.24;CD 2
2024-03-11;1314;9607;SALE;-1;-13.54;CLIENTE
2024-03-11;1314;15589;DELIVERY;1;29.45;CD 2
2024-03-11;1314;18064;SALE;-11;-42.79;CLIENTE
2024-03-11;1314;20635;SALE;-2;-61.78;CLIENTE
2024-03-11;1314;36857;DELIVERY;1;3.76;CD 2
2024-03-12;841;62782;SALE;-1;-7.01;CLIENTE
2024-03-12;1314;9607;DELIVERY;3;40.68;CD 2
2024-03-12;1314;9607;SALE;-1;-13.56;CLIENTE
2024-03-12;1314;18064;SALE;-1;-3.89;CLIENTE
2024-03-12;1314;35416;SALE;-1;-14.89;CLIENTE
2024-03-12;1314;58701;DELIVERY;1;56.35;CD 2
2024-03-13;841;15589;SALE;-1;-24.03;CLIENTE
2024-03-13;841;18064;SALE;-3;-6.78;CLIENTE
2024-03-13;1314;18064;SALE;-4;-15.56;CLIENTE
2024-03-13;1314;20635;SALE;-1;-30.89;CLIENTE
2024-03-14;841;18064;SALE;-1;-2.26;CLIENTE
2024-03-14;1314;1439;SALE;-1;-18.24;CLIENTE
2024-03-14;1314;9607;SALE;-1;-13.56;CLIENTE
2024-03-14;1314;18064;SALE;-6;-23.34;CLIENTE
2024-03-14;1314;35416;SALE;-1;-14.89;CLIENTE
2024-03-14;1314;36857;SALE;-2;-7.52;CLIENTE
2024-03-15;841;18064;SALE;-3;-6.78;CLIENTE
2024-03-15;1314;1439;DELIVERY;1;18.24;CD 2
2024-03-15;1314;1439;SALE;-1;-18.24;CLIENTE
2024-03-15;1314;9607;DELIVERY;3;40.71;CD 2
2024-03-15;1314;18064;DELIVERY;32;124.8;CD 2
2024-03-15;1314;18064;SALE;-4;-15.6;CLIENTE
2024-03-15;1314;20635;SALE;-1;-30.89;CLIENTE
2024-03-15;1314;21141;DELIVERY;1;30.44;CD 2
2024-03-15;1314;35416;SALE;-1;-14.89;CLIENTE
2024-03-16;841;15590;DELIVERY;2;65.38;CD 2
2024-03-16;841;18064;DELIVERY;1;2.26;CD 2
2024-03-16;841;18064;SALE;-4;-9.04;CLIENTE
2024-03-16;1314;18064;SALE;-8;-31.2;CLIENTE
2024-03-16;1314;20635;SALE;-1;-30.89;CLIENTE
2024-03-17;841;18064;SALE;-1;-2.26;CLIENTE
2024-03-17;841;21141;SALE;-2;-49.54;CLIENTE
2024-03-17;1314;5345;SALE;-2;-16.9;CLIENTE
2024-03-17;1314;9607;SALE;-1;-13.57;CLIENTE
2024-03-17;1314;13315;SALE;-1;-46.59;CLIENTE
2024-03-17;1314;18064;SALE;-5;-19.5;CLIENTE
2024-03-18;841;18064;DELIVERY;4;9.04;CD 2
2024-03-18;841;18064;SALE;-1;-2.26;CLIENTE
2024-03-18;841;21141;SALE;-1;-24.77;CLIENTE
2024-03-18;841;62782;DELIVERY;1;7.55;CD 2
2024-03-18;1314;1439;DELIVERY;1;18.24;CD 2
2024-03-18;1314;9607;DELIVERY;2;27.16;CD 2
2024-03-18;1314;15589;SALE;-1;-29.45;CLIENTE
2024-03-18;1314;18064;DELIVERY;35;136.5;CD 2
2024-03-18;1314;18064;SALE;-3;-11.7;CLIENTE
2024-03-18;1314;20635;DELIVERY;3;92.64;CD 2
2024-03-18;1314;36857;DELIVERY;1;3.77;CD 2
2024-03-19;841;9607;SALE;-2;-16.88;CLIENTE
2024-03-19;841;18064;DELIVERY;8;18.08;CD 2
