product;location;supplier;product_name;product_group;inventory_unit;purchase_price;sales_price;minimum_delivery_batch;product_locations.introduction_date;cost_of_ordering
57814;CD 2;105913;OSELTAMIVIR 75MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;180.22;;96;2020-11-23;100.04
57816;CD 2;105913;OSELTAMIVIR 30MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;72.09;;96;2020-11-23;43.8
57817;CD 2;105913;OSELTAMIVIR 45MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;108.14;;96;2020-11-23;65.71
57912;CD 2;51356;LORATAMED D XPE 60ML;1.102.011.00.00.00.00.00;unds;24.54;;96;2020-12-07;9.28
58701;CD 2;87021;ABRILAR XAROPE L-MENTOL 200ML;1.102.011.00.00.00.00.00;unds;65.43;;35;2021-04-12;42.99
62364;CD 2;101141;ALOFF XPE 60ML + SER;1.102.011.00.00.00.00.00;unds;37.49;;1;2022-04-22;28.24
62782;CD 2;51356;HEDERA CIMED 7MG/ML CEREJA XPE100ML;1.102.011.00.00.00.00.00;unds;38.33;;30;2022-06-20;8.02
76834;CD 2;111893;SORINAN ADULTO 0,5MG SOL NASAL 30ML;1.102.011.00.00.00.00.00;unds;9.19;;160;2024-02-08;3.34
1439;LOJA 841;334;SORINE GTS ADULTO 30ML;1.102.011.00.00.00.00.00;unds;20.84;24.30;1;2015-12-16;15.49
1439;LOJA 1314;334;SORINE GTS ADULTO 30ML;1.102.011.00.00.00.00.00;unds;20.27;23.45;1;2021-12-09;19
5345;LOJA 841;173;NARIDRIN ADULTO 15ML;1.102.011.00.00.00.00.00;unds;18.19;15.10;1;2015-12-16;5.56
5345;LOJA 1314;173;NARIDRIN ADULTO 15ML;1.102.011.00.00.00.00.00;unds;17.68;17.05;1;2021-12-09;8.94
9607;LOJA 841;173;NARIDRIN 12H ADULTO 30ML;1.102.011.00.00.00.00.00;unds;29.17;26.76;1;2015-12-16;8.91
9607;LOJA 1314;173;NARIDRIN 12H ADULTO 30ML;1.102.011.00.00.00.00.00;unds;28.36;27.50;1;2021-12-09;14.31
13315;LOJA 841;33104;BROMELIN SUSP 100ML;1.102.011.00.00.00.00.00;unds;55.89;74.42;1;2015-12-16;18.29
13315;LOJA 1314;33104;BROMELIN SUSP 100ML;1.102.011.00.00.00.00.00;unds;54.34;66.14;1;2021-12-09;46.54
15496;LOJA 841;30697;TAMIFLU 75MG CAPS C/10;1.102.011.00.00.00.00.00;unds;277.30;346.49;1;2015-12-16;203.05
15496;LOJA 1314;30697;TAMIFLU 75MG CAPS C/10;1.102.011.00.00.00.00.00;unds;270.61;374.10;1;2021-12-09;249.25
15589;LOJA 841;334;ANTUX XAROPE 120ML;1.102.011.00.00.00.00.00;unds;35.77;46.99;1;2015-12-16;26.08
15589;LOJA 1314;334;ANTUX XAROPE 120ML;1.102.011.00.00.00.00.00;unds;34.77;41.16;1;2021-12-09;32.02
15590;LOJA 841;334;ANTUX GTS 20ML;1.102.011.00.00.00.00.00;unds;46.30;58.26;1;2015-12-16;34.63
15590;LOJA 1314;334;ANTUX GTS 20ML;1.102.011.00.00.00.00.00;unds;45.02;59.25;1;2021-12-09;42.19
18064;LOJA 841;45151;NEOSORO SOLUCAO NASAL ADULTO 30ML;1.102.011.00.00.00.00.00;unds;9.19;9.02;1;2015-12-16;2.57
18064;LOJA 1314;45151;NEOSORO SOLUCAO NASAL ADULTO 30ML;1.102.011.00.00.00.00.00;unds;8.93;7.86;1;2021-12-09;4.28
20635;LOJA 841;87021;ABRILAR XAROPE 100ML;1.102.011.00.00.00.00.00;unds;35.82;43.04;1;2015-12-16;23.5
20635;LOJA 1314;87021;ABRILAR XAROPE 100ML;1.102.011.00.00.00.00.00;unds;34.83;41.50;1;2021-12-09;29.62
21141;LOJA 841;96108;PERCOF XAROPE 120ML;1.102.011.00.00.00.00.00;unds;34.89;44.09;1;2015-12-16;25.97
21141;LOJA 1314;96108;PERCOF XAROPE 120ML;1.102.011.00.00.00.00.00;unds;33.92;45.21;1;2021-12-09;31.81
31330;LOJA 841;87021;ABRILAR XAROPE 200ML;1.102.011.00.00.00.00.00;unds;78.55;95.01;1;2015-12-16;51.06
31330;LOJA 1314;87021;ABRILAR XAROPE 200ML;1.102.011.00.00.00.00.00;unds;76.37;91.10;1;2021-12-09;65.22
35416;LOJA 841;102013;EXPECTAMIN XAROPE 120ML;1.102.011.00.00.00.00.00;unds;24.19;27.29;1;2015-12-16;11.26
35416;LOJA 1314;102013;EXPECTAMIN XAROPE 120ML;1.102.011.00.00.00.00.00;unds;23.52;25.52;1;2021-12-09;15.48
35772;LOJA 841;173;EMSEXPECTOR XAROPE 120ML;1.102.011.00.00.00.00.00;unds;23.77;16.65;1;2015-12-16;12.57
35772;LOJA 1314;173;EMSEXPECTOR XAROPE 120ML;1.102.011.00.00.00.00.00;unds;23.11;14.90;1;2021-12-09;16.75
36857;LOJA 841;51356;NARIX ADULTO 30ML;1.102.011.00.00.00.00.00;unds;7.54;6.50;1;2015-12-16;2.6
36857;LOJA 1314;51356;NARIX ADULTO 30ML;1.102.011.00.00.00.00.00;unds;7.33;8.39;1;2021-12-09;3.97
42076;LOJA 1314;102013;HEDRA EXPEC XAROPE 100ML;1.102.011.00.00.00.00.00;unds;21.17;37.99;1;2021-12-09;15.89
42076;LOJA 841;102013;HEDRA EXPEC XAROPE 100ML;1.102.011.00.00.00.00.00;unds;21.17;32.59;1;2015-12-16;8.35
44217;LOJA 1314;33104;BROMELIN S 100ML;1.102.011.00.00.00.00.00;unds;55.77;74.20;1;2021-12-09;43.09
44217;LOJA 841;33104;BROMELIN S 100ML;1.102.011.00.00.00.00.00;unds;57.36;76.25;1;2015-12-16;32.88
48812;LOJA 1314;35610;ARLIVRY XAROPE CEREJA 100ML;1.102.011.00.00.00.00.00;unds;21.90;18.49;1;2021-12-09;8.98
48812;LOJA 841;35610;ARLIVRY XAROPE CEREJA 100ML;1.102.011.00.00.00.00.00;unds;21.90;18.49;1;2016-12-20;7.49
48813;LOJA 841;35610;ARLIVRY XAROPE MEL 100ML;1.102.011.00.00.00.00.00;unds;27.51;18.49;1;2016-12-20;7.49
48813;LOJA 1314;35610;ARLIVRY XAROPE MEL 100ML;1.102.011.00.00.00.00.00;unds;27.51;18.49;1;2021-12-09;8.98
51957;LOJA 841;51356;HEDERA CIMED 7MG 100ML;1.102.011.00.00.00.00.00;unds;36.64;48.79;1;2018-07-12;7.71
51957;LOJA 1314;51356;HEDERA CIMED 7MG 100ML;1.102.011.00.00.00.00.00;unds;35.63;47.49;1;2021-12-09;14.95
54554;LOJA 841;88708;ALOFF XPE 60ML;1.102.011.00.00.00.00.00;unds;33.04;37.40;1;2019-08-28;18.81
54554;LOJA 1314;88708;ALOFF XPE 60ML;1.102.011.00.00.00.00.00;unds;33.04;37.45;1;2021-12-09;30.79
55917;LOJA 841;29532;POLARATUSS LIQ 120ML;1.102.011.00.00.00.00.00;unds;30.38;34.40;1;2020-03-16;9.13
55917;LOJA 1314;29532;POLARATUSS LIQ 120ML;1.102.011.00.00.00.00.00;unds;29.53;33.44;1;2021-12-09;10.88
57814;LOJA 841;105913;OSELTAMIVIR 75MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;180.22;183.20;1;2020-11-23;101.38
57814;LOJA 1314;105913;OSELTAMIVIR 75MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;175.88;193.10;1;2021-12-09;146.1
57816;LOJA 841;105913;OSELTAMIVIR 30MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;72.09;73.66;1;2020-11-23;43.8
57816;LOJA 1314;105913;OSELTAMIVIR 30MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;70.35;77.33;1;2021-12-09;60.33
57817;LOJA 841;105913;OSELTAMIVIR 45MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;108.14;110.20;1;2020-11-23;65.71
57817;LOJA 1314;105913;OSELTAMIVIR 45MG CAPS/10 GN-NATCOF;1.102.011.00.00.00.00.00;unds;105.53;116.25;1;2021-12-09;91.34
57912;LOJA 841;51356;LORATAMED D XPE 60ML;1.102.011.00.00.00.00.00;unds;24.54;25.90;1;2020-12-07;8.79
57912;LOJA 1314;51356;LORATAMED D XPE 60ML;1.102.011.00.00.00.00.00;unds;23.87;27.81;1;2021-12-09;13.67
58701;LOJA 841;87021;ABRILAR XAROPE L-MENTOL 200ML;1.102.011.00.00.00.00.00;unds;65.43;76.99;1;2021-04-12;42.99
58701;LOJA 1314;87021;ABRILAR XAROPE L-MENTOL 200ML;1.102.011.00.00.00.00.00;unds;65.43;78.99;1;2021-12-09;55.87
62364;LOJA 841;101141;ALOFF XPE 60ML + SER;1.102.011.00.00.00.00.00;unds;37.49;45.15;1;2022-04-22;27.94
62364;LOJA 1314;101141;ALOFF XPE 60ML + SER;1.102.011.00.00.00.00.00;unds;36.45;43.95;1;2022-04-22;34.49
62782;LOJA 841;51356;HEDERA CIMED 7MG/ML CEREJA XPE100ML;1.102.011.00.00.00.00.00;unds;38.33;47.30;1;2022-06-20;8.02
62782;LOJA 1314;51356;HEDERA CIMED 7MG/ML CEREJA XPE100ML;1.102.011.00.00.00.00.00;unds;37.26;46.88;1;2022-06-20;13.61
76834;LOJA 1314;111893;SORINAN ADULTO 0,5MG SOL NASAL 30ML;1.102.011.00.00.00.00.00;unds;8.55;10.80;1;2024-02-08;5.22
76834;LOJA 841;111893;SORINAN ADULTO 0,5MG SOL NASAL 30ML;1.102.011.00.00.00.00.00;unds;9.19;10.80;1;2024-02-08;3.34
