location,location_name,product,product_name,supplier,mean_daily_forecast,std_daily_forecast,total_forecast_period,total_observed_period,promo_days_period,lead_time_days,purchase_price,sales_price,cost_of_ordering,minimum_delivery_batch,forecast_value_period,abc_class,z_value,review_days,reorder_point_s,order_up_to_S,statistical_reorder_point_s,statistical_order_up_to_S,empirical_floor_s,empirical_floor_S,seasonal_floor_s,seasonal_floor_S
1314,LOJA 1314,35772,EMSEXPECTOR XAROPE 120ML,173,0.09614021739130434,0.2877,8.844899999999999,6.0,0,9,23.11,14.9,16.75,1,204.40563899999998,C,0.0,7,2,3,1,2,2,3,0,0
1314,LOJA 1314,31330,ABRILAR XAROPE 200ML,87021,0.07355869565217392,0.2599,6.7674,5.0,0,9,76.37,91.1,65.22,1,516.8263380000001,C,0.0,7,6,7,1,2,2,4,6,7
841,LOJA 841,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,105913,0.0,0.0,0.0,5.0,14,3,72.09,73.66,43.8,1,0.0,C,0.0,7,2,3,1,2,2,3,0,0
1314,LOJA 1314,48812,ARLIVRY XAROPE CEREJA 100ML,35610,0.11440760869565217,0.3121,10.5255,4.0,0,9,21.9,18.49,8.98,1,230.50844999999995,C,0.0,7,6,7,2,3,2,5,6,7
1314,LOJA 1314,35416,EXPECTAMIN XAROPE 120ML,102013,0.0,0.0,0.0,3.0,0,9,23.52,25.52,15.48,1,0.0,C,0.0,7,3,9,1,2,2,5,3,9
841,LOJA 841,1439,SORINE GTS ADULTO 30ML,334,0.0,0.1336,0.0,3.0,0,3,20.84,24.3,15.49,1,0.0,C,0.0,7,1,2,1,2,1,2,1,2
841,LOJA 841,35772,EMSEXPECTOR XAROPE 120ML,173,0.0,0.0,0.0,2.0,0,3,23.77,16.65,12.57,1,0.0,C,0.0,7,1,2,1,2,1,2,1,2
841,LOJA 841,20635,ABRILAR XAROPE 100ML,87021,0.0,0.1873,0.0,2.0,0,3,35.82,43.04,23.5,1,0.0,C,0.0,7,1,2,1,2,1,2,1,2
841,LOJA 841,48813,ARLIVRY XAROPE MEL 100ML,35610,0.0,0.2272,0.0,2.0,0,3,27.51,18.49,7.49,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
841,LOJA 841,42076,HEDRA EXPEC XAROPE 100ML,102013,0.0,0.0,0.0,1.0,0,3,21.17,32.59,8.35,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
841,LOJA 841,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,105913,0.0,0.1336,0.0,1.0,14,3,108.14,110.2,65.71,1,0.0,C,0.0,7,2,4,1,2,2,4,0,0
841,LOJA 841,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,51356,0.0,0.0,0.0,1.0,0,3,38.33,47.3,8.02,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
1314,LOJA 1314,51957,HEDERA CIMED 7MG 100ML,51356,0.0,0.0,0.0,1.0,0,9,35.63,47.49,14.95,1,0.0,C,0.0,7,3,4,1,2,1,3,3,4
1314,LOJA 1314,44217,BROMELIN S 100ML,33104,0.0,0.2877,0.0,1.0,0,9,55.77,74.2,43.09,1,0.0,C,0.0,7,3,4,1,2,1,2,3,4
1314,LOJA 1314,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",111893,0.0,0.0,0.0,1.0,0,9,8.55,10.8,5.22,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
1314,LOJA 1314,58701,ABRILAR XAROPE L-MENTOL 200ML,87021,0.0,0.0,0.0,1.0,0,9,65.43,78.99,55.87,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
841,LOJA 841,15590,ANTUX GTS 20ML,334,0.0,0.0,0.0,1.0,0,3,46.3,58.26,34.63,1,0.0,C,0.0,7,1,2,1,2,1,2,1,2
841,LOJA 841,35416,EXPECTAMIN XAROPE 120ML,102013,0.0,0.1873,0.0,1.0,0,3,24.19,27.29,11.26,1,0.0,C,0.0,7,3,4,1,2,1,3,3,4
841,LOJA 841,58701,ABRILAR XAROPE L-MENTOL 200ML,87021,0.0,0.0,0.0,1.0,0,3,65.43,76.99,42.99,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
841,LOJA 841,48812,ARLIVRY XAROPE CEREJA 100ML,35610,0.0,0.1336,0.0,1.0,0,3,21.9,18.49,7.49,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
1314,LOJA 1314,15496,TAMIFLU 75MG CAPS C/10,30697,0.0,0.0,0.0,0.0,0,9,270.61,374.1,249.25,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
1314,LOJA 1314,42076,HEDRA EXPEC XAROPE 100ML,102013,0.0,0.0,0.0,0.0,0,9,21.17,37.99,15.89,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
1314,LOJA 1314,15590,ANTUX GTS 20ML,334,0.0,0.1336,0.0,0.0,0,9,45.02,59.25,42.19,1,0.0,C,0.0,7,3,4,1,2,1,3,3,4
1314,LOJA 1314,57912,LORATAMED D XPE 60ML,51356,0.0,0.0,0.0,0.0,0,9,23.87,27.81,13.67,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
1314,LOJA 1314,62364,ALOFF XPE 60ML + SER,101141,0.0,0.0,0.0,0.0,0,9,36.45,43.95,34.49,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
1314,LOJA 1314,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,51356,0.0,0.0,0.0,0.0,0,9,37.26,46.88,13.61,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
841,LOJA 841,13315,BROMELIN SUSP 100ML,33104,0.0,0.0,0.0,0.0,0,3,55.89,74.42,18.29,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
841,LOJA 841,31330,ABRILAR XAROPE 200ML,87021,0.0,0.0,0.0,0.0,0,3,78.55,95.01,51.06,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
841,LOJA 841,15496,TAMIFLU 75MG CAPS C/10,30697,0.0,0.0,0.0,0.0,0,3,277.3,346.49,203.05,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
1314,LOJA 1314,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,105913,0.0,0.2966,0.0,0.0,14,9,70.35,77.33,60.33,1,0.0,C,0.0,7,3,4,1,2,3,4,0,0
1314,LOJA 1314,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,105913,0.0,0.1873,0.0,0.0,14,9,175.88,193.1,146.1,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
1314,LOJA 1314,55917,POLARATUSS LIQ 120ML,29532,0.0,0.0,0.0,0.0,0,9,29.53,33.44,10.88,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
1314,LOJA 1314,54554,ALOFF XPE 60ML,88708,0.0,0.0,0.0,0.0,0,9,33.04,37.45,30.79,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
1314,LOJA 1314,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,105913,0.0,0.0,0.0,0.0,14,9,105.53,116.25,91.34,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
841,LOJA 841,54554,ALOFF XPE 60ML,88708,0.0,0.0,0.0,0.0,0,3,33.04,37.4,18.81,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
841,LOJA 841,44217,BROMELIN S 100ML,33104,0.0,0.0,0.0,0.0,0,3,57.36,76.25,32.88,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
841,LOJA 841,51957,HEDERA CIMED 7MG 100ML,51356,0.0,0.0,0.0,0.0,0,3,36.64,48.79,7.71,1,0.0,C,0.0,7,3,4,1,2,1,3,3,4
841,LOJA 841,57912,LORATAMED D XPE 60ML,51356,0.0,0.0,0.0,0.0,0,3,24.54,25.9,8.79,1,0.0,C,0.0,7,1,2,1,2,1,2,0,0
841,LOJA 841,55917,POLARATUSS LIQ 120ML,29532,0.0,0.0,0.0,0.0,0,3,30.38,34.4,9.13,1,0.0,C,0.0,7,2,3,1,2,2,3,0,0
841,LOJA 841,62364,ALOFF XPE 60ML + SER,101141,0.0,0.0,0.0,0.0,0,3,37.49,45.15,27.94,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
841,LOJA 841,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",111893,0.0,0.0,0.0,0.0,0,3,9.19,10.8,3.34,1,0.0,C,0.0,7,1,2,1,2,0,0,0,0
